============================================================
[START] 2025-09-10 12:57:50
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --place-orders --debug-regime --alpha 0.6 --epsilon 0.05 --epsilon-final 0.02 --epsilon-decay-min 120.0 --enable-arms trend,breakout --reward-mode linear --reward-penalty-time 0.1 --reward-penalty-dd 0.2 --reward-penalty-slip 0.05 --reward-regime-bonus 0.02 --arm-min-trades 12 --arm-good-thresh 0.08 --arm-bad-thresh -0.06 --auto-freeze-bad --alpha-boost-good --alpha-boost-mult 1.5 --alpha-boost-secs 600 --freeze-cooldown-secs 14400 --decay-every-secs 600 --decay-gamma 0.995 --rth-only --one-trade-at-a-time --strategy-cooldown-sec 60 --debounce-one-bar --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-10 12:57:51 Enabled arms: trend,breakout
[LOG] 2025-09-10 12:57:51 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[LOG] 2025-09-10 12:57:51 [PING 1] clientId=19 connected: False
[LOG] 2025-09-10 12:57:51 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[LOG] 2025-09-10 12:57:51 Using contract: ESU5  (conId=637533641)
[LOG] 2025-09-10 12:57:51 [WARMUP] Fetching 5d of 1m bars...
[LOG] 2025-09-10 12:57:52 [WARMUP] Loaded 6718 historical 1m bars.
[REGIME] ADX=40.6  BBbw=0.0013  ATR%=0.000238  (ok=True)
[LOG] 2025-09-10 12:57:54 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.733 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.733
[HB] 2025-09-10 12:59:56 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:57 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:59 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 13:00:00 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 13:00:01 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 13:00:02 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 13:00:03 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 13:00:04 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 13:00:05 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 13:00:06 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 13:00:07 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 13:00:08 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 13:00:09 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[REGIME] ADX=39.9  BBbw=0.0003  ATR%=0.000073  (ok=False)
