============================================================
[START] 2025-09-10 22:57:10
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --place-orders --debug-regime --alpha 0.6 --epsilon 0.05 --epsilon-final 0.02 --epsilon-decay-min 120.0 --enable-arms trend,breakout --reward-mode linear --reward-penalty-time 0.1 --reward-penalty-dd 0.2 --reward-penalty-slip 0.05 --reward-regime-bonus 0.02 --arm-min-trades 12 --arm-good-thresh 0.08 --arm-bad-thresh -0.06 --auto-freeze-bad --alpha-boost-good --alpha-boost-mult 1.5 --alpha-boost-secs 600 --freeze-cooldown-secs 14400 --decay-every-secs 600 --decay-gamma 0.995 --rth-only --one-trade-at-a-time --strategy-cooldown-sec 60 --debounce-one-bar --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-10 22:57:10 Enabled arms: trend,breakout
[LOG] 2025-09-10 22:57:10 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[LOG] 2025-09-10 22:57:10 [PING 1] clientId=19 connected: False
[LOG] 2025-09-10 22:57:10 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[LOG] 2025-09-10 22:57:10 Using contract: ESU5  (conId=637533641)
[LOG] 2025-09-10 22:57:10 [WARMUP] Fetching 5d of 1m bars...
[LOG] 2025-09-10 22:57:12 [WARMUP] Loaded 5878 historical 1m bars.
[REGIME] ADX=21.8  BBbw=0.0002  ATR%=0.000033  (ok=False)
[LOG] 2025-09-10 22:57:13 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.684 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.684
[HB] 2025-09-10 22:59:17 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:18 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:19 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:20 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:21 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:22 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:23 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:24 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:25 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:26 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:27 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:28 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:30 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:31 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[REGIME] ADX=10.5  BBbw=0.0001  ATR%=0.000009  (ok=False)
[HB] 2025-09-10 22:59:32 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:33 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:34 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:35 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:36 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:37 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:38 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:39 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:40 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:41 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:42 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
[HB] 2025-09-10 22:59:43 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0
